=~=~=~=~=~=~=~=~=~=~=~= PuTTY log 2026.03.19 15:57:35 =~=~=~=~=~=~=~=~=~=~=~=
61320,940
61370,939
61420,938
61471,940
61521,936
61572,937
61623,939
61673,940
61724,944
61774,944
61825,949
61876,950
61926,968
61976,1004
62027,1023
62077,1023
62129,1023
62179,1023
62229,1023
62280,1023
62330,1023
62382,1023
62432,1023
62482,1023
62533,1023
62583,1023
62635,1023
62685,997
62735,962
62786,942
62836,938
62886,937
62938,939
62988,938
63038,938
63089,939
63139,940
63190,942
63241,943
63291,947
63342,948
63392,956
63442,992
63494,1023
63544,1023
63594,1023
63645,1023
63695,1023
63747,1023
63797,1023
63847,1023
63898,1023
63948,1023
64000,1023
64050,1023
64100,1023
64151,1015
64201,976
64252,949
64303,939
64353,938
64404,939
64454,937
64504,939
64556,939
64606,939
64656,940
64707,943
64757,946
64807,947
64859,952
64909,976
64959,1014
65010,1023
65060,1023
65112,1023
65162,1023
65212,1023
65263,1023
65313,1023
65364,1023
65415,1023
65465,1023
65516,1023
65566,1023
65617,1023
65668,985
65718,952
65769,941
65819,938
65870,939
65921,938
65971,939
66022,939
66072,941
66122,940
66173,943
66224,945
66274,947
66325,951
66375,968
66425,1003
66477,1023
66527,1023
66578,1023
66628,1023
66678,1023
66729,1023
66780,1023
66831,1023
66881,1023
66931,1023
66982,1023
67033,1023
67084,1023
67134,997
67184,961
67235,943
67286,938
67336,936
67387,935
67437,939
67487,938
67538,938
67589,939
67640,942
67690,945
67740,946
67791,950
67842,958
67892,993
67943,1023
67993,1023
68043,1023
68094,1023
68145,1023
68196,1023
68246,1023
68296,1023
68347,1023
68398,1023
68449,1023
68499,1023
68549,1023
68600,1008
68651,969
68702,943
68752,940
68802,939
68853,939
68903,939
68954,936
69005,939
69055,939
69105,941
69156,943
69207,946
69257,949
69308,954
69358,983
69409,1020
69459,1023
69510,1023
69561,1023
69611,1023
69662,1023
69712,1023
69763,1023
69814,1023
69864,1023
69915,1023
69965,1023
70016,1023
70067,1016
70117,981
70168,948
70218,940
70268,939
70320,939
70370,938
70420,937
70471,938
70521,938
70572,940
70623,943
70673,943
70723,948
70774,952
70824,976
70875,1010
70926,1023
70976,1023
71027,1023
71077,1023
71128,1023
71179,1023
71229,1023
71280,1023
71330,1023
71380,1023
71432,1023
71482,1023
71533,1023
71583,987
71633,954
71685,941
71735,938
71785,940
71836,939
71886,938
71938,938
71988,940
72038,941
72089,943
72139,946
72189,947
72241,951
72291,967
72341,1003
72392,1023
72442,1023
72494,1023
72544,1023
72594,1023
72645,1023
72695,1023
72747,1023
72797,1023
72847,1023
72898,1023
72948,1023
72999,1023
73050,996
73100,962
73151,942
73201,939
73251,939
73303,939
73353,938
73403,938
73454,938
73504,939
73554,943
73606,945
73656,947
73707,950
73757,960
73807,998
73859,1023
73909,1023
73959,1023
74010,1023
74060,1023
74112,1023
74162,1023
74212,1023
74263,1023
74313,1023
74364,1023
74415,1023
74465,1023
74516,1002
74566,965
74617,945
74668,938
74718,939
74769,938
74819,938
74869,938
74920,937
74971,939
75021,942
75072,947
75122,946
75172,949
75224,958
75274,994
75325,1023
75375,1023
75425,1023
75476,1023
75527,1023
75578,1023
75628,1023
75678,1023
75729,1023
75780,1023
75831,1023
75881,1023
75931,1023
75982,1002
76033,963
76083,942
76134,938
76184,937
76235,938
76285,938
76336,939
76387,938
76437,938
76487,941
76538,944
76589,946
76639,950
76690,958
76740,994
76790,1023
76841,1023
76892,1023
76943,1023
76993,1023
77043,1023
77094,1023
77145,1023
77196,1023
77246,1023
77296,1023
77347,1023
77398,1023
77449,1005
77499,966
77549,943
77600,938
77650,938
77701,938
77752,939
77802,939
77853,938
77903,939
77954,941
78005,945
78055,946
78105,949
78156,958
78206,996
78257,1023
78308,1023
78358,1023
78409,1023
78459,1023
78510,1023
78561,1023
78611,1023
78662,1023
78712,1023
78763,1023
78814,1023
78864,1023
78915,998
78965,965
79015,944
79067,934
79117,940
79167,938
79218,939
79268,938
79319,940
79370,940
79420,943
79470,944
79521,948
79571,950
79622,963
79673,998
79723,1023
79774,1023
79824,1023
79875,1023
79926,1023
79976,1023
80027,1023
80077,1023
80128,1023
80179,1023
80229,1023
80280,1023
80330,1023
80380,995
80432,961
80482,942
80532,941
80583,939
80633,937
80685,938
80735,938
80785,939
80836,939
80886,944
80936,946
80988,948
81038,947
81088,967
81139,1003
81189,1023
81241,1023
81291,1023
81341,1023
81392,1023
81442,1023
81494,1023
81544,1023
81594,1023
81645,1023
81695,1023
81746,1023
81797,1023
81847,986
81898,953
81948,941
81998,939
82050,939
82100,939
82150,937
82201,939
82251,940
82302,939
82353,944
82403,946
82454,948
82504,951
82554,979
82606,1014
82656,1023
82706,1023
82757,1023
82807,1023
82859,1023
82909,1023
82959,1023
83010,1023
83060,1023
83111,1023
83162,1023
83212,1023
83263,1016
83313,978
83364,947
83415,939
83465,937
83516,937
83566,936
83616,937
83667,937
83718,939
83768,940
83819,944
83869,945
83919,949
83971,954
84021,984
84072,1022
84122,1023
84172,1023
84224,1023
84274,1023
84325,1023
84375,1023
84425,1023
84476,1023
84527,1023
84578,1023
84628,1023
84678,1023
84729,1009
84780,969
84830,943
84881,939
84931,938
84982,939
85032,939
85083,938
85134,937
85184,940
85234,942
85285,943
85336,947
85386,948
85437,958
85487,994
85537,1023
85588,1023
85639,1023
85690,1023
85740,1023
85790,1023
85841,1023
85892,1023
85943,1023
85993,1023
86043,1023
86094,1023
86145,1023
86196,998
86246,966
86296,941
86347,939
86397,938
86448,938
86499,938
86549,939
86599,938
86650,941
86701,941
86752,946
86802,949
86852,951
86903,963
86953,1000
87004,1023
87055,1023
87105,1023
87156,1023
87206,1023
87257,1023
87308,1023
87358,1023
87409,1023
87459,1023
87510,1023
87561,1023
87611,1023
87662,989
87712,953
87762,940
87814,938
87864,939
87914,939
87965,940
88015,938
88066,938
88117,939
88167,944
88217,945
88268,948
88318,952
88369,976
88420,1012
88470,1023
88521,1023
88571,1023
88622,1023
